time,Rn_air__Bqm3,Rn_air_err__Bqm3,Rn_gw__Bqm3,Rn_gw_err__Bqm3,Rn_offshore__Bqm3,Rn_offshore_err__Bqm3,Ra226_wat__Bqm3,Ra226_wat_err__Bqm3,Ra226_sed__Bqg,Ra226_sed_err__Bqg,Rn_exch__Bqm3,Rn_exch_err__Bqm3,Rn_wat__Bqm3,Rn_wat_err__Bqm3,temp_wat__C,temp_wat_err__C,sal_wat,sal_wat_err,wind__ms,wind_err__ms,depth__m,depth_err__m,f_mix_exp__Bqm2hr,f_mix_exp_err__Bqm2hr
1/26/12 11:10,0.17,,1000,,0.17,,0.17,,1,,4.605522,,,,24.1,,33,,3.6,,1.129,,0,
1/26/12 12:10,0.17,,1000,,0.17,,0.17,,1,,26.33286,,,,24.2,,33,,2.1,,1.16,,0,
1/26/12 13:10,0.17,,1000,,0.17,,0.17,,1,,40.2738,,,,24.39,,33,,2.6,,1.215,,0,
1/26/12 14:10,0.17,,1000,,0.17,,0.17,,1,,55.78883,,,,24.91,,33,,2.1,,1.28,,0,
1/26/12 15:10,0.17,,1000,,0.17,,0.17,,1,,65.08697,,,,24.85,,33,,2.6,,1.325,,0,
1/26/12 16:10,0.17,,1000,,0.17,,0.17,,1,,69.73603,,,,24.94,,33,,2.6,,1.361,,0,
1/26/12 17:10,0.17,,1000,,0.17,,0.17,,1,,75.93479,,,,24.58,,33,,1.5,,1.373,,265.0251884,
1/26/12 18:10,0.17,,1000,,0.17,,0.17,,1,,58.8617,,,,24.61,,33,,2.1,,1.343,,0,
1/26/12 19:10,0.17,,1000,,0.17,,0.17,,1,,77.48447,,,,24.34,,33,,4.1,,1.319,,53.22143915,
1/26/12 20:10,0.17,,1000,,0.17,,0.17,,1,,75.93479,,,,24.27,,33,,4.6,,1.245,,0,
1/26/12 21:10,0.17,,1000,,0.17,,0.17,,1,,80.58385,,,,24.14,,33,,6.2,,1.151,,0,
1/26/12 22:10,0.17,,1000,,0.17,,0.17,,1,,99.18014,,,,24.3,,33,,6.2,,1.102,,131.5454725,
1/26/12 23:10,0.17,,1000,,0.17,,0.17,,1,,75.93479,,,,24.14,,33,,6.2,,1.149,,0,
1/27/12 0:10,0.17,,1000,,0.17,,0.17,,1,,85.23293,,,,24.05,,33,,5.1,,1.19,,0,
1/27/12 1:10,0.17,,1000,,0.17,,0.17,,1,,77.48447,,,,24.05,,33,,6.7,,1.294,,0,
1/27/12 2:10,0.17,,1000,,0.17,,0.17,,1,,66.63665,,,,24.02,,33,,4.6,,1.413,,0,
1/27/12 3:10,0.17,,1000,,0.17,,0.17,,1,,69.73603,,,,24.1,,33,,5.7,,1.514,,167.1296686,
1/27/12 4:10,0.17,,1000,,0.17,,0.17,,1,,52.68945,,,,24.11,,33,,3.6,,1.592,,0,
1/27/12 5:10,0.17,,1000,,0.17,,0.17,,1,,55.78883,,,,24.11,,33,,4.1,,1.613,,237.2678068,
1/27/12 6:10,0.17,,1000,,0.17,,0.17,,1,,41.84162,,,,24.13,,33,,3.1,,1.557,,0,
1/27/12 7:10,0.17,,1000,,0.17,,0.17,,1,,54.23914,,,,24.12,,33,,2.6,,1.457,,488.4230384,
1/27/12 8:10,0.17,,1000,,0.17,,0.17,,1,,23.23488,,,,24.08,,33,,0,,1.342,,150.3738511,
1/27/12 9:10,0.17,,1000,,0.17,,0.17,,1,,13.94093,,,,24.07,,33,,0,,1.218,,135.5901412,
1/27/12 10:10,0.17,,1000,,0.17,,0.17,,1,,4.644887,,,,24.1,,33,,0,,1.122,,0,
1/27/12 11:10,0.17,,1000,,0.17,,0.17,,1,,9.293953,,,,24.44,,33,,0,,1.086,,0,
1/27/12 12:10,0.17,,1000,,0.17,,0.17,,1,,23.23488,,,,25.19,,33,,0,,1.077,,0,
1/27/12 13:10,0.17,,1000,,0.17,,0.17,,1,,77.48447,,,,26.43,,33,,0,,1.117,,539.1817562,
1/27/12 14:10,0.17,,1000,,,,,,1,,27.88186,,,,26.95,,33,,2.6,,1.197,,0,
1/27/12 15:10,0.17,,,,,,,,1,,83.68324,,,,27.03,,33,,0,,1.274,,0,
,0.17,,,,,,,,,,128.6822,,,,27.76,,33,,0,,1.351,,33.92427761,
,0.17,,,,,,,,,,122.4806,,,,27.65,,33,,0,,1.37,,0,
,0.17,,,,,,,,,,178.2946,,,,27.52,,33,,0,,1.328,,521.4703971,
,0.17,,,,,,,,,,141.0853,,,,26.67,,33,,0,,1.281,,0,
,0.17,,,,,,,,,,165.8914,,,,,,,,,,,,,