,,,time,,,,,,Rn_exch__Bqm3,,,Rn_air__Bqm3,,depth__m,sal_wat,,temp_wat__C,kw_air,Rn_wat__Bqm3,,wind__ms,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rad Cycle,Rad End Time,Rad Start Time,Rad Mid Time,days,Avg Live Time,Tot Counts in Win-A,Cpm in Win-A,Cpm Uncert,Rn in Exchanger dpm/m3,Rn Exchngr Unc dpm/m3,Humidity,Rn in Air dpm/m3,Rn in Air Uncertainty,Water Level m,Cond surface,,Water Temperature C,K Oswald Temp Con Factor,Rn in Water dpm/m3,Rn in Water Unc,Wind speed (m/s),,,,,,,,,,,,,,,,,,,
1,12-08-2008 16:40:00,12-08-2008 16:10:00,12-08-2008 16:25:00,0.00,27.9,32,1.16,0.20,4199,734,9.0,393.8,453.5,1.229,0.271,,23.30,0.23,968,169,2.09,,,,,,,,,,,,,,,,,,,
2,12-08-2008 17:10:00,12-08-2008 16:40:00,12-08-2008 16:55:00,0.02,27.9,61,2.19,0.28,7911,1009,8.0,393.8,453.5,1.227,0.271,,22.30,0.24,1875,239,1.64,,,,,,,,,,,,,,,,,,,
3,12-08-2008 17:40:00,12-08-2008 17:10:00,12-08-2008 17:25:00,0.04,27.9,78,2.80,0.32,10114,1141,8.0,1028.4,484.7,1.203,0.273,,20.90,0.25,2495,282,1.49,,,,,,,,,,,,,,,,,,,
4,12-08-2008 18:10:00,12-08-2008 17:40:00,12-08-2008 17:55:00,0.06,28.0,63,2.25,0.28,8125,1021,9.0,1662.9,516.0,1.194,0.273,,19.12,0.26,2112,265,1.94,,,,,,,,,,,,,,,,,,,
5,12-08-2008 18:40:00,12-08-2008 18:10:00,12-08-2008 18:25:00,0.08,28.0,84,3.00,0.33,10860,1181,7.0,2297.5,547.3,1.186,0.273,,18.10,0.27,2911,316,1.79,,,,,,,,,,,,,,,,,,,
6,12-08-2008 19:10:00,12-08-2008 18:40:00,12-08-2008 18:55:00,0.10,28.0,74,2.64,0.31,9559,1108,7.0,2932.1,578.6,1.181,0.273,,17.37,0.27,2621,304,1.64,,,,,,,,,,,,,,,,,,,
7,12-08-2008 19:40:00,12-08-2008 19:10:00,12-08-2008 19:25:00,0.13,28.0,77,2.75,0.31,9950,1130,6.0,2270.5,488.8,1.179,0.273,,16.56,0.28,2798,318,1.19,,,,,,,,,,,,,,,,,,,
8,12-08-2008 20:10:00,12-08-2008 19:40:00,12-08-2008 19:55:00,0.15,28.0,71,2.54,0.30,9173,1085,6.0,1609.0,399.0,1.175,0.272,,15.87,0.29,2636,312,0.89,,,,,,,,,,,,,,,,,,,
9,12-08-2008 20:40:00,12-08-2008 20:10:00,12-08-2008 20:25:00,0.17,28.0,67,2.40,0.29,8657,1054,6.0,947.4,309.2,1.170,0.272,,15.33,0.29,2531,308,0.89,,,,,,,,,,,,,,,,,,,
10,12-08-2008 21:10:00,12-08-2008 20:40:00,12-08-2008 20:55:00,0.19,28.0,75,2.68,0.31,9688,1115,6.0,285.9,219.4,1.169,0.272,,14.98,0.30,2865,330,0.75,,,,,,,,,,,,,,,,,,,
11,12-08-2008 21:40:00,12-08-2008 21:10:00,12-08-2008 21:25:00,0.21,28.0,75,2.68,0.31,9691,1115,5.0,285.9,219.4,1.167,0.272,,14.77,0.30,2885,332,1.19,,,,,,,,,,,,,,,,,,,
12,12-08-2008 22:10:00,12-08-2008 21:40:00,12-08-2008 21:55:00,0.23,28.0,82,2.93,0.32,10577,1165,5.0,285.9,219.4,1.165,0.272,,14.75,0.30,3152,347,1.34,,,,,,,,,,,,,,,,,,,
13,12-08-2008 22:40:00,12-08-2008 22:10:00,12-08-2008 22:25:00,0.25,28.0,68,2.43,0.29,8784,1062,5.0,285.9,219.4,1.163,0.272,,14.85,0.30,2609,315,1.04,,,,,,,,,,,,,,,,,,,
14,12-08-2008 23:10:00,12-08-2008 22:40:00,12-08-2008 22:55:00,0.27,28.0,69,2.46,0.30,8908,1069,5.0,285.9,219.4,1.160,0.272,,14.47,0.30,2678,321,0.45,,,,,,,,,,,,,,,,,,,
15,12-08-2008 23:40:00,12-08-2008 23:10:00,12-08-2008 23:25:00,0.29,28.0,69,2.46,0.30,8908,1069,5.0,279.9,217.7,1.157,0.272,,14.04,0.30,2717,326,0.45,,,,,,,,,,,,,,,,,,,
16,12-09-2008 00:10:00,12-08-2008 23:40:00,12-08-2008 23:55:00,0.31,28.0,62,2.22,0.28,8012,1014,5.0,273.9,216.0,1.155,0.272,,13.57,0.31,2481,314,0.60,,,,,,,,,,,,,,,,,,,
17,12-09-2008 00:40:00,12-09-2008 00:10:00,12-09-2008 00:25:00,0.33,28.0,80,2.86,0.32,10340,1152,5.0,267.9,214.3,1.152,0.272,,13.32,0.31,3229,360,0.45,,,,,,,,,,,,,,,,,,,
18,12-09-2008 01:10:00,12-09-2008 00:40:00,12-09-2008 00:55:00,0.35,28.0,57,2.04,0.27,7364,972,5.0,261.9,212.6,1.151,0.272,,13.32,0.31,2300,304,0.60,,,,,,,,,,,,,,,,,,,
19,12-09-2008 01:40:00,12-09-2008 01:10:00,12-09-2008 01:25:00,0.38,28.0,76,2.71,0.31,9810,1122,5.0,244.1,210.8,1.151,0.272,,12.93,0.32,3104,355,0.75,,,,,,,,,,,,,,,,,,,
20,12-09-2008 02:10:00,12-09-2008 01:40:00,12-09-2008 01:55:00,0.40,28.0,62,2.21,0.28,8000,1013,5.0,226.2,209.1,1.154,0.272,,12.93,0.32,2532,321,0.30,,,,,,,,,,,,,,,,,,,
21,12-09-2008 02:40:00,12-09-2008 02:10:00,12-09-2008 02:25:00,0.42,28.0,61,2.18,0.28,7870,1005,5.0,208.3,207.3,1.158,0.272,,12.93,0.32,2490,318,0.15,,,,,,,,,,,,,,,,,,,
22,12-09-2008 03:10:00,12-09-2008 02:40:00,12-09-2008 02:55:00,0.44,28.0,67,2.39,0.29,8647,1053,5.0,190.4,205.5,1.157,0.272,,12.93,0.32,2736,333,0.75,,,,,,,,,,,,,,,,,,,
23,12-09-2008 03:41:00,12-09-2008 03:11:00,12-09-2008 03:26:00,0.46,28.0,71,2.54,0.30,9172,1085,5.0,226.1,212.1,1.153,0.272,,13.03,0.32,2892,342,0.45,,,,,,,,,,,,,,,,,,,
24,12-09-2008 04:11:00,12-09-2008 03:41:00,12-09-2008 03:56:00,0.48,28.0,51,1.82,0.26,6587,919,5.0,261.8,218.7,1.152,0.272,,13.55,0.31,2042,285,1.19,,,,,,,,,,,,,,,,,,,
25,12-09-2008 04:41:00,12-09-2008 04:11:00,12-09-2008 04:26:00,0.50,28.0,60,2.15,0.28,7756,997,5.0,297.5,225.3,1.153,0.272,,13.52,0.31,2406,309,1.64,,,,,,,,,,,,,,,,,,,
26,12-09-2008 05:11:00,12-09-2008 04:41:00,12-09-2008 04:56:00,0.52,28.0,57,2.04,0.27,7356,971,5.0,333.2,232.0,1.154,0.272,,13.47,0.31,2286,302,1.49,,,,,,,,,,,,,,,,,,,
27,12-09-2008 05:41:00,12-09-2008 05:11:00,12-09-2008 05:26:00,0.54,28.0,63,2.25,0.28,8132,1021,5.0,297.5,221.6,1.158,0.272,,13.99,0.31,2484,312,1.64,,,,,,,,,,,,,,,,,,,
28,12-09-2008 06:11:00,12-09-2008 05:41:00,12-09-2008 05:56:00,0.56,28.0,62,2.22,0.28,8007,1013,5.0,261.9,211.2,1.161,0.271,,14.37,0.30,2415,306,1.49,,,,,,,,,,,,,,,,,,,
29,12-09-2008 06:41:00,12-09-2008 06:11:00,12-09-2008 06:26:00,0.58,28.0,56,2.00,0.27,7227,963,5.0,226.2,200.9,1.163,0.271,,14.47,0.30,2173,289,0.89,,,,,,,,,,,,,,,,,,,
30,12-09-2008 07:11:00,12-09-2008 06:41:00,12-09-2008 06:56:00,0.60,28.0,82,2.93,0.32,10585,1166,5.0,190.5,190.5,1.164,0.271,,14.57,0.30,3172,349,1.19,,,,,,,,,,,,,,,,,,,
31,12-09-2008 07:41:00,12-09-2008 07:11:00,12-09-2008 07:26:00,0.63,28.0,59,2.11,0.27,7622,989,5.0,172.7,184.0,1.165,0.272,,15.36,0.29,2227,289,1.49,,,,,,,,,,,,,,,,,,,
32,12-09-2008 08:11:00,12-09-2008 07:41:00,12-09-2008 07:56:00,0.65,28.0,60,2.15,0.28,7753,997,5.0,154.8,177.4,1.174,0.272,,16.76,0.28,2166,279,1.79,,,,,,,,,,,,,,,,,,,
33,12-09-2008 08:41:00,12-09-2008 08:11:00,12-09-2008 08:26:00,0.67,28.0,59,2.11,0.27,7625,989,5.0,136.9,170.9,1.180,0.272,,18.54,0.26,2017,262,1.79,,,,,,,,,,,,,,,,,,,
34,12-09-2008 09:11:00,12-09-2008 08:41:00,12-09-2008 08:56:00,0.69,28.0,84,3.00,0.33,10853,1180,5.0,119.1,164.3,1.217,0.272,,22.12,0.24,2586,281,2.09,,,,,,,,,,,,,,,,,,,
35,12-09-2008 09:41:00,12-09-2008 09:11:00,12-09-2008 09:26:00,0.71,28.0,77,2.75,0.31,9940,1130,6.0,119.1,166.6,1.216,0.272,,22.71,0.23,2329,265,2.83,,,,,,,,,,,,,,,,,,,
36,12-09-2008 10:11:00,12-09-2008 09:41:00,12-09-2008 09:56:00,0.73,28.0,68,2.43,0.29,8777,1061,5.0,119.1,169.0,1.207,0.272,,22.78,0.23,2052,248,2.83,,,,,,,,,,,,,,,,,,,
37,12-09-2008 10:41:00,12-09-2008 10:11:00,12-09-2008 10:26:00,0.75,28.0,56,2.00,0.27,7235,963,5.0,119.1,171.3,1.214,0.272,,24.99,0.22,1594,212,2.38,,,,,,,,,,,,,,,,,,,
38,12-09-2008 11:11:00,12-09-2008 10:41:00,12-09-2008 10:56:00,0.77,28.0,67,2.39,0.29,8645,1053,5.0,119.1,173.6,1.221,0.273,,26.44,0.21,1834,223,2.38,,,,,,,,,,,,,,,,,,,
39,12-09-2008 11:41:00,12-09-2008 11:11:00,12-09-2008 11:26:00,0.79,28.0,59,2.11,0.27,7625,989,6.0,130.9,175.8,1.224,0.273,,26.63,0.21,1610,209,2.53,,,,,,,,,,,,,,,,,,,
40,12-09-2008 12:11:00,12-09-2008 11:41:00,12-09-2008 11:56:00,0.81,27.9,54,1.94,0.26,7005,949,6.0,142.8,177.9,1.236,0.273,,28.15,0.20,1425,193,2.68,,,,,,,,,,,,,,,,,,,
41,12-09-2008 12:41:00,12-09-2008 12:11:00,12-09-2008 12:26:00,0.83,27.9,49,1.76,0.25,6352,904,6.0,154.7,180.1,1.247,0.274,,28.78,0.20,1272,181,2.38,,,,,,,,,,,,,,,,,,,
42,12-09-2008 13:11:00,12-09-2008 12:41:00,12-09-2008 12:56:00,0.85,27.9,64,2.29,0.29,8293,1033,7.0,166.6,182.2,1.257,0.272,,28.52,0.20,1672,208,2.53,,,,,,,,,,,,,,,,,,,
43,12-09-2008 13:41:00,12-09-2008 13:11:00,12-09-2008 13:26:00,0.88,27.9,65,2.33,0.29,8413,1041,6.0,184.4,188.0,1.265,0.272,,27.81,0.21,1725,213,2.38,,,,,,,,,,,,,,,,,,,
44,12-09-2008 14:11:00,12-09-2008 13:41:00,12-09-2008 13:56:00,0.90,27.9,58,2.08,0.27,7508,983,5.0,202.2,193.8,1.270,0.272,,27.62,0.21,1547,203,2.09,,,,,,,,,,,,,,,,,,,
45,12-09-2008 14:41:00,12-09-2008 14:11:00,12-09-2008 14:26:00,0.92,27.9,53,1.90,0.26,6872,940,6.0,220.0,199.5,1.257,0.272,,27.70,0.21,1413,193,1.64,,,,,,,,,,,,,,,,,,,
46,12-09-2008 15:11:00,12-09-2008 14:41:00,12-09-2008 14:56:00,0.94,27.9,56,2.01,0.27,7249,966,5.0,237.8,205.3,1.259,0.272,,27.91,0.20,1483,198,1.34,,,,,,,,,,,,,,,,,,,
47,12-09-2008 15:41:00,12-09-2008 15:11:00,12-09-2008 15:26:00,0.96,27.9,71,2.55,0.30,9203,1089,5.0,201.7,191.8,1.258,0.272,,27.05,0.21,1923,228,1.79,,,,,,,,,,,,,,,,,,,
48,12-09-2008 16:11:00,12-09-2008 15:41:00,12-09-2008 15:56:00,0.98,28.1,75,2.67,0.31,9651,1111,5.0,165.6,178.3,1.248,0.273,,26.63,0.21,2038,235,2.24,,,,,,,,,,,,,,,,,,,
49,12-09-2008 16:41:00,12-09-2008 16:11:00,12-09-2008 16:26:00,1.00,28.2,68,2.41,0.29,8720,1054,5.0,129.5,164.7,1.241,0.273,,27.12,0.21,1819,220,1.94,,,,,,,,,,,,,,,,,,,
50,12-09-2008 17:11:00,12-09-2008 16:41:00,12-09-2008 16:56:00,1.02,28.2,68,2.41,0.29,8717,1054,5.0,93.5,151.2,1.227,0.273,,25.51,0.22,1895,229,1.64,,,,,,,,,,,,,,,,,,,
51,12-09-2008 17:41:00,12-09-2008 17:11:00,12-09-2008 17:26:00,1.04,28.2,49,1.74,0.25,6280,894,5.0,122.7,162.0,1.214,0.273,,23.47,0.23,1441,205,1.64,,,,,,,,,,,,,,,,,,,
52,12-09-2008 18:11:00,12-09-2008 17:41:00,12-09-2008 17:56:00,1.06,28.2,47,1.67,0.24,6030,876,5.0,151.9,172.9,1.205,0.273,,22.37,0.24,1426,207,1.49,,,,,,,,,,,,,,,,,,,
53,12-09-2008 18:41:00,12-09-2008 18:11:00,12-09-2008 18:26:00,1.08,28.2,63,2.23,0.28,8074,1014,5.0,181.1,183.7,1.200,0.273,,21.63,0.24,1950,245,1.94,,,,,,,,,,,,,,,,,,,
54,12-09-2008 19:11:00,12-09-2008 18:41:00,12-09-2008 18:56:00,1.10,28.2,54,1.91,0.26,6920,939,5.0,210.3,194.5,1.195,0.273,,21.10,0.25,1697,230,2.09,,,,,,,,,,,,,,,,,,,
55,12-09-2008 19:41:00,12-09-2008 19:11:00,12-09-2008 19:26:00,1.13,28.2,65,2.30,0.29,8330,1030,5.0,204.4,192.6,1.191,0.272,,20.67,0.25,2068,256,2.24,,,,,,,,,,,,,,,,,,,
56,12-09-2008 20:11:00,12-09-2008 19:41:00,12-09-2008 19:56:00,1.15,28.2,75,2.66,0.31,9624,1107,5.0,198.6,190.7,1.191,0.272,,20.32,0.25,2414,278,3.13,,,,,,,,,,,,,,,,,,,
57,12-09-2008 20:41:00,12-09-2008 20:11:00,12-09-2008 20:26:00,1.17,28.2,62,2.20,0.28,7946,1006,5.0,192.8,188.8,1.188,0.272,,20.16,0.25,2002,253,2.68,,,,,,,,,,,,,,,,,,,
58,12-09-2008 21:11:00,12-09-2008 20:41:00,12-09-2008 20:56:00,1.19,28.2,80,2.84,0.32,10257,1143,4.0,186.9,186.9,1.187,0.272,,20.14,0.25,2586,288,1.94,,,,,,,,,,,,,,,,,,,
59,12-09-2008 21:41:00,12-09-2008 21:11:00,12-09-2008 21:26:00,1.21,28.2,68,2.41,0.29,8708,1053,5.0,169.4,184.9,1.187,0.272,,19.76,0.26,2221,269,1.94,,,,,,,,,,,,,,,,,,,
60,12-09-2008 22:11:00,12-09-2008 21:41:00,12-09-2008 21:56:00,1.23,28.2,62,2.20,0.28,7956,1007,4.0,151.9,182.9,1.186,0.272,,19.39,0.26,2051,259,2.24,,,,,,,,,,,,,,,,,,,
61,12-09-2008 22:41:00,12-09-2008 22:11:00,12-09-2008 22:26:00,1.25,28.2,67,2.38,0.29,8597,1046,5.0,134.3,180.9,1.186,0.274,,19.04,0.26,2240,273,2.09,,,,,,,,,,,,,,,,,,,
62,12-09-2008 23:11:00,12-09-2008 22:41:00,12-09-2008 22:56:00,1.27,28.2,71,2.52,0.30,9105,1077,5.0,116.8,178.9,1.185,0.272,,19.04,0.26,2372,281,1.49,,,,,,,,,,,,,,,,,,,
63,12-09-2008 23:41:00,12-09-2008 23:11:00,12-09-2008 23:26:00,1.29,28.2,68,2.41,0.29,8711,1053,5.0,134.4,186.3,1.184,0.272,,19.04,0.26,2269,274,1.94,,,,,,,,,,,,,,,,,,,
64,12-10-2008 00:11:00,12-09-2008 23:41:00,12-09-2008 23:56:00,1.31,28.2,63,2.24,0.28,8083,1015,5.0,151.9,193.8,1.183,0.272,,19.04,0.26,2106,264,2.09,,,,,,,,,,,,,,,,,,,
65,12-10-2008 00:41:00,12-10-2008 00:11:00,12-10-2008 00:26:00,1.33,28.2,78,2.77,0.31,10007,1129,5.0,169.4,201.2,1.181,0.272,,19.04,0.26,2607,294,1.64,,,,,,,,,,,,,,,,,,,
66,12-10-2008 01:11:00,12-10-2008 00:41:00,12-10-2008 00:56:00,1.35,28.2,79,2.80,0.32,10137,1137,5.0,187.0,208.6,1.183,0.272,,19.04,0.26,2641,296,1.34,,,,,,,,,,,,,,,,,,,
67,12-10-2008 01:41:00,12-10-2008 01:11:00,12-10-2008 01:26:00,1.38,28.2,69,2.45,0.29,8852,1062,5.0,157.7,191.5,1.183,0.271,,19.32,0.26,2287,274,1.34,,,,,,,,,,,,,,,,,,,
68,12-10-2008 02:11:00,12-10-2008 01:41:00,12-10-2008 01:56:00,1.40,28.2,44,1.56,0.24,5636,847,5.0,128.5,174.4,1.183,0.271,,19.42,0.26,1452,218,1.49,,,,,,,,,,,,,,,,,,,
69,12-10-2008 02:41:00,12-10-2008 02:11:00,12-10-2008 02:26:00,1.42,28.2,69,2.45,0.29,8845,1062,5.0,99.3,157.3,1.181,0.271,,19.04,0.26,2304,277,2.09,,,,,,,,,,,,,,,,,,,
70,12-10-2008 03:11:00,12-10-2008 02:41:00,12-10-2008 02:56:00,1.44,28.2,60,2.13,0.27,7690,990,5.0,70.1,140.2,1.181,0.271,,19.04,0.26,2003,258,2.09,,,,,,,,,,,,,,,,,,,
71,12-10-2008 03:41:00,12-10-2008 03:11:00,12-10-2008 03:26:00,1.46,28.2,61,2.16,0.28,7814,998,5.0,70.1,140.2,1.181,0.272,,19.04,0.26,2036,260,1.79,,,,,,,,,,,,,,,,,,,
72,12-10-2008 04:11:00,12-10-2008 03:41:00,12-10-2008 03:56:00,1.48,28.2,65,2.31,0.29,8340,1031,5.0,70.1,140.2,1.180,0.272,,19.04,0.26,2173,269,1.94,,,,,,,,,,,,,,,,,,,
73,12-10-2008 04:41:00,12-10-2008 04:11:00,12-10-2008 04:26:00,1.50,28.2,76,2.69,0.31,9735,1114,5.0,70.1,140.2,1.181,0.272,,19.04,0.26,2536,290,1.79,,,,,,,,,,,,,,,,,,,
74,12-10-2008 05:11:00,12-10-2008 04:41:00,12-10-2008 04:56:00,1.52,28.2,91,3.23,0.34,11669,1220,5.0,70.1,140.2,1.181,0.272,,19.04,0.26,3040,318,1.94,,,,,,,,,,,,,,,,,,,
75,12-10-2008 05:41:00,12-10-2008 05:11:00,12-10-2008 05:26:00,1.54,28.2,72,2.56,0.30,9239,1085,5.0,70.1,140.2,1.181,0.272,,19.01,0.26,2409,283,1.49,,,,,,,,,,,,,,,,,,,
76,12-10-2008 06:11:00,12-10-2008 05:41:00,12-10-2008 05:56:00,1.56,28.2,86,3.05,0.33,11034,1186,5.0,70.1,140.2,1.181,0.272,,19.04,0.26,2875,309,1.04,,,,,,,,,,,,,,,,,,,
77,12-10-2008 06:41:00,12-10-2008 06:11:00,12-10-2008 06:26:00,1.58,28.2,66,2.34,0.29,8460,1038,5.0,70.1,140.2,1.181,0.272,,19.04,0.26,2204,270,1.34,,,,,,,,,,,,,,,,,,,
78,12-10-2008 07:11:00,12-10-2008 06:41:00,12-10-2008 06:56:00,1.60,28.2,73,2.59,0.30,9353,1092,5.0,70.1,140.2,1.181,0.272,,19.04,0.26,2437,284,1.35,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,28.1,66,2.36,0.29,8532,1042,5.4,330.5,218.9,1.191,0.272,,19.37,0.26,2244,274,1.62,,,,,,,,,,,,,,,,,,,
,,,,,0.1,10,0.37,0.02,1335,84,0.9,517.8,97.9,0.032,0.001,,4.68,0.04,491,46,0.65,,,,,,,,,,,,,,,,,,,
,,,,,78,78,78,78,78,78,78,78,78,78,78.000,,78,78,78,78,78,,,,,,,,,,,,,,,,,,,
,,,,,27.9,32,1.16,0.20,4199,734,4.0,70.1,140.2,1.151,0.271,,12.93,0.20,968,169,0.15,,,,,,,,,,,,,,,,,,,
,,,,,28.2,91,3.23,0.34,11669,1220,9.0,2932.1,578.6,1.270,0.274,,28.78,0.32,3229,360,3.13,,,,,,,,,,,,,,,,,,,
,,,,,0.0,1,0.04,0.00,151,9,0.1,58.6,11.1,0.004,0.000,,0.53,0.00,56,5,0.07,,,,,,,,,,,,,,,,,,,